danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,artist_name,album,track_name,popularity
0.636,0.915,1,-3.473,1,0.183,0.0353,0.511,90.946,204000,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Punch,66
0.555,0.926,0,-2.793,0,0.113,0.0892,0.644,149.725,204707,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,NonStop,57
0.569,0.823,4,-5.709,0,0.169,0.00796,0.328,166.994,105280,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Prelude,46
0.681,0.847,7,-2.462,1,0.0867,0.0306,0.506,167.036,233013,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Kick It,47
0.74,0.628,2,-3.355,1,0.143,0.043,0.307,104.929,209080,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Boom,45
0.636,0.814,0,-3.38,1,0.0693,0.127,0.635,159.97,249120,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Pandora's Box,43
0.421,0.799,4,-4.441,1,0.14,0.203,0.176,136.424,205747,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Day Dream,43
0.602,0.411,2,-5.634,0,0.0315,0.839,0.439,117.661,215027,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Make Your Day,50
0.534,0.575,7,-6.628,1,0.106,0.244,0.109,166.078,99120,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Interlude: Neo Zone,40
0.646,0.863,2,-3.415,1,0.381,0.206,0.614,157.834,183187,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,MAD DOG,44
0.819,0.812,1,-4.203,1,0.11,0.0603,0.719,127.983,200200,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Sit Down!,45
0.547,0.778,6,-4.733,0,0.139,0.152,0.383,126.181,248253,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Love Me Now,44
0.652,0.784,1,-3.271,1,0.143,0.0477,0.667,129.837,215160,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Love Song,43
0.56,0.567,7,-3.968,0,0.0288,0.203,0.214,70.978,243427,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,White Night,42
0.761,0.573,9,-5.229,1,0.0332,0.627,0.428,126.991,225173,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Not Alone,42
0.557,0.668,6,-4.345,0,0.0474,0.144,0.38,97.985,225560,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Dreams Come True,41
0.731,0.707,4,-3.808,0,0.0582,0.105,0.579,103.969,209880,NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,Elevator (127F),43
0.853,0.723,7,-5.79,1,0.0622,0.0166,0.381,101.035,185799,NCT 127,Awaken,Lips,31
