album,artists,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri,artist_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4t1SPfj4ogtEQUMu3OHI3Q'}, 'href': 'https://api.spotify.com/v1/albums/4t1SPfj4ogtEQUMu3OHI3Q', 'id': '4t1SPfj4ogtEQUMu3OHI3Q', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c158fb5a0bf5de6459e7e59d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c158fb5a0bf5de6459e7e59d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c158fb5a0bf5de6459e7e59d', 'width': 64}], 'name': '1 Billion Views - The 1st Album', 'release_date': '2020-07-13', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:4t1SPfj4ogtEQUMu3OHI3Q'}",EXO-SC,1,209253,False,{'isrc': 'KRA302000363'},{'spotify': 'https://open.spotify.com/track/4gGZc6MMYavM5KFS2zwOVL'},https://api.spotify.com/v1/tracks/4gGZc6MMYavM5KFS2zwOVL,4gGZc6MMYavM5KFS2zwOVL,False,True,1 Billion Views,71,https://p.scdn.co/mp3-preview/65b5b3e159887a96d6cb890872fe838e73667cbe?cid=ef4c80d91330490ebcdf815a11c05719,1,track,spotify:track:4gGZc6MMYavM5KFS2zwOVL,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.735,0.727,0,-2.837,0,0.0364,0.362,0.0,0.0997,0.612,111.928,209253,4
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4t1SPfj4ogtEQUMu3OHI3Q'}, 'href': 'https://api.spotify.com/v1/albums/4t1SPfj4ogtEQUMu3OHI3Q', 'id': '4t1SPfj4ogtEQUMu3OHI3Q', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c158fb5a0bf5de6459e7e59d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c158fb5a0bf5de6459e7e59d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c158fb5a0bf5de6459e7e59d', 'width': 64}], 'name': '1 Billion Views - The 1st Album', 'release_date': '2020-07-13', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:4t1SPfj4ogtEQUMu3OHI3Q'}",EXO-SC,1,195613,False,{'isrc': 'KRA302000366'},{'spotify': 'https://open.spotify.com/track/6ksOaijLwaSWTVRtPgakt0'},https://api.spotify.com/v1/tracks/6ksOaijLwaSWTVRtPgakt0,6ksOaijLwaSWTVRtPgakt0,False,True,Telephone,61,https://p.scdn.co/mp3-preview/d78fb8b0730e555338772fc60415f7dd21944ca8?cid=ef4c80d91330490ebcdf815a11c05719,4,track,spotify:track:6ksOaijLwaSWTVRtPgakt0,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.817,0.64,5,-2.927,0,0.0487,0.232,0.0,0.204,0.772,89.97,195613,4
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/60dCcEJcX0TamOud2jS87a'}, 'href': 'https://api.spotify.com/v1/albums/60dCcEJcX0TamOud2jS87a', 'id': '60dCcEJcX0TamOud2jS87a', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739496c38c133c6145f2793088', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029496c38c133c6145f2793088', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519496c38c133c6145f2793088', 'width': 64}], 'name': 'What a life - The 1st Mini Album', 'release_date': '2019-07-22', 'release_date_precision': 'day', 'total_tracks': 6, 'type': 'album', 'uri': 'spotify:album:60dCcEJcX0TamOud2jS87a'}",EXO-SC,1,203866,False,{'isrc': 'KRA301900282'},{'spotify': 'https://open.spotify.com/track/3TfLZodlQ1TzNpdrc4KXR5'},https://api.spotify.com/v1/tracks/3TfLZodlQ1TzNpdrc4KXR5,3TfLZodlQ1TzNpdrc4KXR5,False,True,What a life,61,https://p.scdn.co/mp3-preview/dccdfb6233fe7ba4d789655dd2d5a4aa3fcb5f93?cid=ef4c80d91330490ebcdf815a11c05719,1,track,spotify:track:3TfLZodlQ1TzNpdrc4KXR5,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.862,0.782,5,-3.811,0,0.125,0.301,0.0,0.143,0.847,135.029,203867,4
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4t1SPfj4ogtEQUMu3OHI3Q'}, 'href': 'https://api.spotify.com/v1/albums/4t1SPfj4ogtEQUMu3OHI3Q', 'id': '4t1SPfj4ogtEQUMu3OHI3Q', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c158fb5a0bf5de6459e7e59d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c158fb5a0bf5de6459e7e59d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c158fb5a0bf5de6459e7e59d', 'width': 64}], 'name': '1 Billion Views - The 1st Album', 'release_date': '2020-07-13', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:4t1SPfj4ogtEQUMu3OHI3Q'}",EXO-SC,1,174720,False,{'isrc': 'KRA302000370'},{'spotify': 'https://open.spotify.com/track/7zgAysZmfnHKhayf30Dx2U'},https://api.spotify.com/v1/tracks/7zgAysZmfnHKhayf30Dx2U,7zgAysZmfnHKhayf30Dx2U,False,True,On Me,61,https://p.scdn.co/mp3-preview/9f7527d50c78757af6bd30fe897f96dc2685a12b?cid=ef4c80d91330490ebcdf815a11c05719,8,track,spotify:track:7zgAysZmfnHKhayf30Dx2U,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.693,0.866,6,-2.735,0,0.229,0.0421,2.38e-06,0.221,0.691,97.048,174720,4
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4t1SPfj4ogtEQUMu3OHI3Q'}, 'href': 'https://api.spotify.com/v1/albums/4t1SPfj4ogtEQUMu3OHI3Q', 'id': '4t1SPfj4ogtEQUMu3OHI3Q', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c158fb5a0bf5de6459e7e59d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c158fb5a0bf5de6459e7e59d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c158fb5a0bf5de6459e7e59d', 'width': 64}], 'name': '1 Billion Views - The 1st Album', 'release_date': '2020-07-13', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:4t1SPfj4ogtEQUMu3OHI3Q'}",EXO-SC,1,206293,False,{'isrc': 'KRA302000369'},{'spotify': 'https://open.spotify.com/track/308Hr1dbj1mlLkggoWlxxB'},https://api.spotify.com/v1/tracks/308Hr1dbj1mlLkggoWlxxB,308Hr1dbj1mlLkggoWlxxB,False,True,Nothin’,61,https://p.scdn.co/mp3-preview/a62a2c07808910ccc073a744069c12b5cbe86e45?cid=ef4c80d91330490ebcdf815a11c05719,7,track,spotify:track:308Hr1dbj1mlLkggoWlxxB,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.471,0.755,9,-1.215,1,0.0483,0.439,0.0,0.104,0.178,166.134,206293,5
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4t1SPfj4ogtEQUMu3OHI3Q'}, 'href': 'https://api.spotify.com/v1/albums/4t1SPfj4ogtEQUMu3OHI3Q', 'id': '4t1SPfj4ogtEQUMu3OHI3Q', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c158fb5a0bf5de6459e7e59d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c158fb5a0bf5de6459e7e59d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c158fb5a0bf5de6459e7e59d', 'width': 64}], 'name': '1 Billion Views - The 1st Album', 'release_date': '2020-07-13', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:4t1SPfj4ogtEQUMu3OHI3Q'}",EXO-SC,1,220506,False,{'isrc': 'KRA302000365'},{'spotify': 'https://open.spotify.com/track/7yfRLqROyibGRSW0t2vUSs'},https://api.spotify.com/v1/tracks/7yfRLqROyibGRSW0t2vUSs,7yfRLqROyibGRSW0t2vUSs,False,True,Rodeo Station,61,https://p.scdn.co/mp3-preview/44fe895212dc56eeed7a76e9421fe01900c43086?cid=ef4c80d91330490ebcdf815a11c05719,3,track,spotify:track:7yfRLqROyibGRSW0t2vUSs,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.717,0.789,11,-2.57,1,0.052,0.471,1.49e-06,0.0931,0.791,92.989,220507,4
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4t1SPfj4ogtEQUMu3OHI3Q'}, 'href': 'https://api.spotify.com/v1/albums/4t1SPfj4ogtEQUMu3OHI3Q', 'id': '4t1SPfj4ogtEQUMu3OHI3Q', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c158fb5a0bf5de6459e7e59d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c158fb5a0bf5de6459e7e59d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c158fb5a0bf5de6459e7e59d', 'width': 64}], 'name': '1 Billion Views - The 1st Album', 'release_date': '2020-07-13', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:4t1SPfj4ogtEQUMu3OHI3Q'}",EXO-SC,1,200920,False,{'isrc': 'KRA302000364'},{'spotify': 'https://open.spotify.com/track/1v63HdaLjF520P32frB392'},https://api.spotify.com/v1/tracks/1v63HdaLjF520P32frB392,1v63HdaLjF520P32frB392,False,True,Say It,60,https://p.scdn.co/mp3-preview/768ea45f8e0fd3f05a8a0431b483251d0dd7c827?cid=ef4c80d91330490ebcdf815a11c05719,2,track,spotify:track:1v63HdaLjF520P32frB392,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.773,0.783,7,-2.707,1,0.0397,0.0739,0.0,0.219,0.649,149.997,200920,4
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4t1SPfj4ogtEQUMu3OHI3Q'}, 'href': 'https://api.spotify.com/v1/albums/4t1SPfj4ogtEQUMu3OHI3Q', 'id': '4t1SPfj4ogtEQUMu3OHI3Q', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c158fb5a0bf5de6459e7e59d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c158fb5a0bf5de6459e7e59d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c158fb5a0bf5de6459e7e59d', 'width': 64}], 'name': '1 Billion Views - The 1st Album', 'release_date': '2020-07-13', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:4t1SPfj4ogtEQUMu3OHI3Q'}",EXO-SC,1,197306,False,{'isrc': 'KRA302000367'},{'spotify': 'https://open.spotify.com/track/2pGiCkby7jZHeSTGM9aDKE'},https://api.spotify.com/v1/tracks/2pGiCkby7jZHeSTGM9aDKE,2pGiCkby7jZHeSTGM9aDKE,False,True,Jet Lag,60,https://p.scdn.co/mp3-preview/bbce72671258209688c2fa6be252451cd5d121d9?cid=ef4c80d91330490ebcdf815a11c05719,5,track,spotify:track:2pGiCkby7jZHeSTGM9aDKE,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.592,0.852,11,-2.005,1,0.0521,0.237,0.0,0.285,0.745,84.876,197307,4
"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/4t1SPfj4ogtEQUMu3OHI3Q'}, 'href': 'https://api.spotify.com/v1/albums/4t1SPfj4ogtEQUMu3OHI3Q', 'id': '4t1SPfj4ogtEQUMu3OHI3Q', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c158fb5a0bf5de6459e7e59d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c158fb5a0bf5de6459e7e59d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c158fb5a0bf5de6459e7e59d', 'width': 64}], 'name': '1 Billion Views - The 1st Album', 'release_date': '2020-07-13', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:4t1SPfj4ogtEQUMu3OHI3Q'}",EXO-SC,1,226053,False,{'isrc': 'KRA302000368'},{'spotify': 'https://open.spotify.com/track/2u6gedEMPQhakkPBUPCLLz'},https://api.spotify.com/v1/tracks/2u6gedEMPQhakkPBUPCLLz,2u6gedEMPQhakkPBUPCLLz,False,True,Fly Away,59,https://p.scdn.co/mp3-preview/be18f0ba5a88b5a66f30290d929412dc960936ab?cid=ef4c80d91330490ebcdf815a11c05719,6,track,spotify:track:2u6gedEMPQhakkPBUPCLLz,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.636,0.704,7,-3.875,1,0.0591,0.136,0.0,0.114,0.501,90.052,226053,4
"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/6741jcSlgsv0M3B4ruIPS5'}, 'href': 'https://api.spotify.com/v1/artists/6741jcSlgsv0M3B4ruIPS5', 'id': '6741jcSlgsv0M3B4ruIPS5', 'name': 'EXO-SC', 'type': 'artist', 'uri': 'spotify:artist:6741jcSlgsv0M3B4ruIPS5'}], 'external_urls': {'spotify': 'https://open.spotify.com/album/60dCcEJcX0TamOud2jS87a'}, 'href': 'https://api.spotify.com/v1/albums/60dCcEJcX0TamOud2jS87a', 'id': '60dCcEJcX0TamOud2jS87a', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739496c38c133c6145f2793088', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029496c38c133c6145f2793088', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519496c38c133c6145f2793088', 'width': 64}], 'name': 'What a life - The 1st Mini Album', 'release_date': '2019-07-22', 'release_date_precision': 'day', 'total_tracks': 6, 'type': 'album', 'uri': 'spotify:album:60dCcEJcX0TamOud2jS87a'}",EXO-SC,1,198600,False,{'isrc': 'KRA301900283'},{'spotify': 'https://open.spotify.com/track/7smpmyKwtHAZpWrDGMju2Q'},https://api.spotify.com/v1/tracks/7smpmyKwtHAZpWrDGMju2Q,7smpmyKwtHAZpWrDGMju2Q,False,True,Just us 2,56,https://p.scdn.co/mp3-preview/f02a76913dfe469073613c2b6f4fe07da56de1b0?cid=ef4c80d91330490ebcdf815a11c05719,2,track,spotify:track:7smpmyKwtHAZpWrDGMju2Q,spotify:artist:6741jcSlgsv0M3B4ruIPS5,0.659,0.642,6,-3.638,1,0.0524,0.202,0.0,0.691,0.769,74.934,198600,4
